City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
159,Zharkent,KZ,44.1628,80.0,26.19,76,100,4.72,overcast clouds
160,College,US,64.8569,-147.8028,6.75,71,75,4.61,broken clouds
161,Alofi,NU,-19.0595,-169.9187,80.49,83,75,9.22,broken clouds
162,Biak,ID,-0.9131,122.8766,81.95,65,100,0.78,overcast clouds
163,Arraial Do Cabo,BR,-22.9661,-42.0278,72.28,90,100,12.91,overcast clouds
164,Isangel,VU,-19.55,169.2667,78.67,92,100,36.06,overcast clouds
165,Khislavichi,RU,54.1871,32.1582,22.51,96,97,7.29,snow
166,Xacmaz,AZ,41.4635,48.806,38.93,65,19,1.97,few clouds
167,Ulladulla,AU,-35.35,150.4667,83.77,46,1,5.93,clear sky
168,Cabo San Lucas,MX,22.8909,-109.9124,76.3,57,4,5.01,clear sky
169,Kibondo,TZ,-3.5864,30.7203,60.44,95,63,2.1,broken clouds
170,Kruisfontein,ZA,-34.0033,24.7314,64.74,63,99,7.94,overcast clouds
171,Codrington,AU,-38.2667,141.9667,70.05,64,89,11.52,overcast clouds
172,Neyshabur,IR,36.2133,58.7958,37.85,44,0,1.86,clear sky
173,Kosh-Agach,RU,50.0,88.6667,-24.61,89,96,1.68,overcast clouds
174,Impfondo,CG,1.6381,18.0667,70.0,34,87,2.64,overcast clouds
175,Dingle,PH,10.9995,122.6711,80.22,72,12,15.88,few clouds
176,Nelson Bay,AU,-32.7167,152.15,85.28,59,2,1.99,clear sky
177,Coihaique,CL,-45.5752,-72.0662,60.75,41,40,10.36,scattered clouds
178,Hoa Binh,VN,20.8133,105.3383,53.49,95,100,2.48,overcast clouds
179,Matara,LK,5.9485,80.5353,75.33,72,100,1.97,overcast clouds
180,Pisco,PE,-13.7,-76.2167,71.02,83,0,4.61,clear sky
181,Bajil,YE,15.0584,43.2851,73.8,81,16,3.04,few clouds
182,Bathsheba,BB,13.2167,-59.5167,74.01,83,40,11.5,scattered clouds
183,Sechura,PE,-5.5569,-80.8222,73.85,68,100,10.8,overcast clouds
184,Srednekolymsk,RU,67.45,153.6833,-36.96,96,71,5.32,broken clouds
185,Bogo,PH,11.0517,124.0055,81.39,68,84,10.89,broken clouds
186,Manzanillo,CU,20.3433,-77.1167,75.78,76,28,4.45,light rain
187,Kashi,CN,39.4547,75.9797,24.01,68,40,8.95,scattered clouds
188,Cueramaro,MX,20.6167,-101.7167,69.22,27,0,5.7,clear sky
189,Tiksi,RU,71.6872,128.8694,-18.78,98,58,9.35,broken clouds
190,Bisalpur,IN,28.3,79.8,56.01,81,100,1.72,overcast clouds
191,Katsuura,JP,35.1333,140.3,47.19,61,100,16.42,overcast clouds
192,Luleburgaz,TR,41.4039,27.3592,38.57,73,63,14.41,broken clouds
193,Lata,PT,40.1629,-8.3327,50.72,69,0,4.27,clear sky
194,Mount Gambier,AU,-37.8333,140.7667,69.71,64,100,10.36,overcast clouds
195,Raga,SS,8.4596,25.678,66.49,20,6,3.87,clear sky
196,Sabzevar,IR,36.2126,57.6819,37.89,49,0,4.43,clear sky
197,Hun,LY,29.1268,15.9477,53.85,68,100,13.94,overcast clouds
198,Sungairaya,ID,0.7,108.9,79.23,82,97,2.82,overcast clouds
199,Narsaq,GL,60.9167,-46.05,1.62,77,19,8.34,few clouds
200,Sakakah,SA,29.9697,40.2064,49.57,38,0,6.46,clear sky
201,Aksu,CN,41.1231,80.2644,27.54,56,100,1.21,overcast clouds
202,Safaga,EG,26.7292,33.9365,66.18,35,0,3.2,clear sky
203,Penzance,GB,50.1186,-5.5371,49.21,77,100,18.97,overcast clouds
204,Esperance,AU,-33.8667,121.9,71.44,59,35,4.12,scattered clouds
205,Georgetown,MY,5.4112,100.3354,78.73,91,40,3.44,scattered clouds
206,Coihueco,CL,-36.6167,-71.8333,70.81,42,0,4.68,clear sky
207,Bandarbeyla,SO,9.4942,50.8122,74.98,67,75,16.42,broken clouds
208,Medea,DZ,36.2642,2.7539,30.65,65,0,5.66,clear sky
209,Rorvik,NO,64.8621,11.2373,40.26,65,100,29.82,light rain
210,Caucaia,BR,-3.7361,-38.6531,82.35,76,75,8.05,broken clouds
211,Ballina,AU,-28.8667,153.5667,78.98,65,100,5.75,overcast clouds
212,Vila,PT,42.0304,-8.1588,44.33,74,0,3.91,clear sky
213,Jining,CN,35.405,116.5814,41.0,1,100,5.12,overcast clouds
214,Sao Felix Do Xingu,BR,-6.6447,-51.995,72.75,97,100,1.03,overcast clouds
215,Leningradskiy,RU,69.3833,178.4167,-26.01,85,16,4.38,few clouds
216,Ahipara,NZ,-35.1667,173.1667,81.48,64,9,12.68,clear sky
217,Alaca,TR,40.1683,34.8425,34.27,94,100,2.46,light snow
218,Portobelo,PA,9.55,-79.65,81.01,81,48,9.26,scattered clouds
219,Cherskiy,RU,68.75,161.3,-36.85,97,73,3.89,broken clouds
220,Lorengau,PG,-2.0226,147.2712,82.96,80,93,8.97,overcast clouds
221,Balkanabat,TM,39.5108,54.3671,43.7,48,45,10.67,scattered clouds
222,Radford,US,37.1318,-80.5764,40.12,62,0,0.0,clear sky
223,Zarichne,UA,51.8126,26.129,37.6,80,100,16.58,overcast clouds
224,Dabola,GN,10.75,-11.1167,72.99,18,100,1.63,overcast clouds
225,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,73.09,99,100,1.99,overcast clouds
226,Hilo,US,19.7297,-155.09,76.24,79,75,8.05,broken clouds
227,Almaznyy,RU,48.0448,40.045,37.54,98,100,8.37,moderate rain
228,Whitianga,NZ,-36.8333,175.7,70.43,96,100,8.84,overcast clouds
229,Boditi,ET,6.9667,37.8667,61.54,57,97,7.54,overcast clouds
230,Talnakh,RU,69.4865,88.3972,-0.8,96,100,11.92,overcast clouds
231,Kieta,PG,-6.2167,155.6333,85.64,71,96,9.55,light rain
232,Souillac,MU,-20.5167,57.5167,75.58,88,75,3.44,broken clouds
233,Goundam,ML,16.4145,-3.6708,67.51,9,0,9.57,clear sky
234,Huancabamba,PE,-5.2386,-79.4506,58.96,99,99,0.22,overcast clouds
235,Naryan-Mar,RU,67.6713,53.087,10.15,92,79,16.75,broken clouds
236,Aswan,EG,24.0934,32.907,60.1,25,0,5.75,clear sky
237,Dubbo,AU,-32.25,148.6167,82.53,32,52,6.91,broken clouds
238,Alice Springs,AU,-23.7,133.8833,80.15,65,88,8.05,overcast clouds
239,Churapcha,RU,62.0025,132.4325,-20.06,97,100,2.06,overcast clouds
240,Suwannaphum,TH,15.6035,103.8021,80.04,66,6,11.88,clear sky
241,Port Hardy,CA,50.6996,-127.4199,47.75,93,100,13.8,light rain
242,Majene,ID,-3.5403,118.9707,79.2,84,100,1.81,overcast clouds
243,Flin Flon,CA,54.7682,-101.865,15.64,79,100,16.11,overcast clouds
244,Havelock,US,34.8791,-76.9013,46.35,90,0,3.44,clear sky
245,Khatanga,RU,71.9667,102.5,3.33,85,99,14.65,overcast clouds
246,Salalah,OM,17.0151,54.0924,69.89,19,0,5.75,clear sky
247,Tuktoyaktuk,CA,69.4541,-133.0374,-40.0,67,20,3.44,mist
248,Saint-Louis,SN,16.3333,-15.0,74.84,11,0,10.18,clear sky
249,Mahon,ES,39.8885,4.2658,52.36,82,40,6.91,scattered clouds
250,Gamba,GA,-2.65,10.0,77.22,90,88,5.68,overcast clouds
251,Malindi,KE,-3.2175,40.1191,75.65,88,9,9.4,clear sky
252,Axim,GH,4.8699,-2.2405,77.81,89,96,6.15,overcast clouds
253,Alihe,CN,50.5667,123.7167,8.38,91,95,0.92,overcast clouds
254,Naze,JP,28.3667,129.4833,58.12,69,87,9.98,overcast clouds
255,Kitami,JP,43.8031,143.8908,22.28,75,70,6.87,broken clouds
256,Gornyy,RU,55.1153,83.9059,-4.2,98,29,7.63,scattered clouds
257,Clyde River,CA,70.4692,-68.5914,-28.97,68,75,6.91,snow
258,Tagusao,PH,9.1924,117.8141,82.18,69,100,5.19,overcast clouds
259,Torbay,CA,47.6666,-52.7314,31.57,91,100,20.71,overcast clouds
260,Illintsi,UA,49.1048,29.2177,29.89,96,100,10.92,light snow
261,Erzin,TR,36.9559,36.2,48.72,84,73,8.32,broken clouds
262,Tongzi,CN,28.7829,105.0877,41.67,79,90,1.83,overcast clouds
263,Utena,LT,55.5,25.6,32.85,91,29,13.98,scattered clouds
264,Sinegorye,RU,62.0788,150.477,-10.59,77,95,1.19,overcast clouds
265,Bhadra,IN,29.1167,75.1667,58.84,64,100,4.72,overcast clouds
266,Arlit,NE,18.7369,7.3853,65.75,9,0,6.8,clear sky
267,Te Anau,NZ,-45.4167,167.7167,68.25,64,100,0.85,overcast clouds
268,Marilia,BR,-22.2139,-49.9458,68.02,78,0,4.12,clear sky
269,Avarua,CK,-21.2078,-159.775,78.85,89,20,9.22,few clouds
270,Verkh-Usugli,RU,52.7,115.1667,-7.29,96,57,2.48,broken clouds
271,Ponta Delgada,PT,37.7333,-25.6667,57.51,76,20,5.75,few clouds
272,Divnoye,RU,45.9089,43.3547,37.51,91,100,9.57,moderate rain
273,Kahului,US,20.8947,-156.47,82.42,64,20,17.27,few clouds
274,Tanda,IN,26.55,82.65,52.05,87,1,6.53,clear sky
275,Adrar,MR,20.5022,-10.0711,65.34,11,100,10.36,overcast clouds
276,Zhigansk,RU,66.7697,123.3711,-42.32,100,89,0.92,overcast clouds
277,Coka,RS,45.9425,20.1433,42.01,78,100,14.7,light rain
278,La Ronge,CA,55.1001,-105.2842,14.25,73,75,11.5,broken clouds
279,Mikkeli,FI,61.6886,27.2723,30.31,93,100,4.61,overcast clouds
280,Saint George,US,37.1041,-113.5841,68.47,12,0,6.91,clear sky
281,Xuddur,SO,4.1213,43.8894,67.44,60,28,15.08,scattered clouds
282,Harer,ET,9.3094,42.1258,57.97,52,40,2.53,scattered clouds
283,Port Keats,AU,-14.25,129.55,86.81,70,13,6.06,few clouds
284,Lerwick,GB,60.1545,-1.1494,41.0,76,100,32.19,overcast clouds
285,Marzuq,YE,14.4,46.4667,56.64,36,1,2.8,clear sky
286,Byron Bay,AU,-28.65,153.6167,82.06,60,0,5.17,clear sky
287,Havoysund,NO,70.9963,24.6622,27.48,82,100,14.38,overcast clouds
288,Buribay,RU,51.9617,58.1592,7.38,98,100,2.35,overcast clouds
289,Manicore,BR,-5.8092,-61.3003,74.1,98,100,1.36,overcast clouds
290,Bam,IR,29.106,58.357,45.86,32,0,1.01,clear sky
291,Bari,IT,41.1177,16.8512,46.87,60,5,8.05,clear sky
292,Manggar,ID,-2.8833,108.2667,80.58,80,98,5.57,overcast clouds
293,Dauphin,CA,51.1494,-100.0502,35.74,69,100,18.41,overcast clouds
294,Xining,CN,36.6167,101.7667,9.57,84,34,2.53,scattered clouds
295,Shediac,CA,46.2198,-64.5411,34.43,100,100,11.5,light snow
296,Safford,US,32.834,-109.7076,54.77,29,0,1.66,clear sky
297,Wahiawa,US,21.5028,-158.0236,79.12,58,75,9.22,broken clouds
298,Ceres,US,37.5949,-120.9577,71.51,30,0,4.61,clear sky
299,Mariental,NA,-24.6333,17.9667,72.01,65,95,5.14,overcast clouds
300,Corbelia,BR,-24.7989,-53.3067,63.21,47,0,6.08,clear sky
301,Obama,JP,35.4958,135.746,43.61,70,88,10.96,overcast clouds
302,Labuhan,ID,-6.8844,112.2051,79.9,80,100,6.4,overcast clouds
303,Olinda,BR,-8.0089,-34.8553,82.13,69,20,8.05,few clouds
304,Karpathos,GR,35.507,27.2132,48.16,76,88,33.38,overcast clouds
305,Hualmay,PE,-11.0964,-77.6139,70.38,80,66,6.8,broken clouds
306,Rocha,UY,-34.4833,-54.3333,59.41,81,0,1.9,clear sky
307,Los Llanos De Aridane,ES,28.6585,-17.9182,66.13,33,0,4.61,clear sky
308,Komsomolskiy,UZ,40.4272,71.7189,36.75,87,40,11.5,scattered clouds
309,Smalininkai,LT,55.0735,22.5793,35.51,90,5,11.61,clear sky
310,Maswa,TZ,-2.6833,33.9833,63.48,84,82,6.29,broken clouds
311,Cabinda,AO,-5.55,12.2,78.06,84,100,5.77,overcast clouds
312,Nishihara,JP,26.1842,127.7558,65.48,69,75,5.75,broken clouds
313,Cayenne,GF,4.9333,-52.3333,80.1,84,20,5.01,few clouds
314,Belyy Yar,RU,53.6039,91.3903,-17.14,77,81,2.24,broken clouds
315,Sardarshahr,IN,28.4333,74.4833,59.2,70,100,8.46,overcast clouds
316,Dunedin,NZ,-45.8742,170.5036,59.81,84,100,5.99,overcast clouds
317,Hasaki,JP,35.7333,140.8333,43.29,54,90,19.35,overcast clouds
318,Ormara,PK,25.2088,64.6357,69.28,48,0,8.57,clear sky
319,Solnechnyy,RU,50.7214,136.6319,7.11,87,41,1.63,scattered clouds
320,Sri Aman,MY,1.2376,111.4621,75.25,94,40,0.0,scattered clouds
321,Prosec,CZ,49.8059,16.1162,42.42,99,100,15.99,overcast clouds
322,Ilo,PE,-17.6394,-71.3375,69.17,81,72,2.62,broken clouds
323,Hare Bay,CA,48.8499,-54.0148,27.75,78,100,13.2,overcast clouds
324,Waikuku,NZ,-43.3,172.6833,65.41,89,100,10.45,overcast clouds
325,Chapais,CA,49.7834,-74.8492,19.18,98,100,2.66,overcast clouds
326,Taksimo,RU,56.3444,114.8794,-1.44,97,100,0.49,overcast clouds
327,Tarko-Sale,RU,64.9225,77.785,-11.76,88,73,12.15,broken clouds
328,Umm Kaddadah,SD,13.6017,26.6876,60.28,21,5,12.24,clear sky
329,Mazyr,BY,52.0495,29.2456,32.07,98,98,12.06,light snow
330,General Roca,AR,-39.0333,-67.5833,79.2,16,85,1.7,overcast clouds
331,Ponta Do Sol,PT,32.6667,-17.1,69.01,54,100,10.94,overcast clouds
332,Igbon,PH,11.2142,123.1655,79.56,75,88,17.65,overcast clouds
333,Guspini,IT,39.5406,8.6294,38.71,64,0,0.87,clear sky
334,Atasu,KZ,48.6814,71.6433,2.79,92,100,6.02,overcast clouds
335,Pitimbu,BR,-7.4706,-34.8086,81.19,74,26,9.51,scattered clouds
336,Henties Bay,NA,-22.116,14.2845,70.86,87,46,7.49,light rain
337,Mitu,CO,1.1983,-70.1733,71.49,98,100,1.74,overcast clouds
338,Vredendal,ZA,-31.6683,18.5012,64.02,83,1,5.55,clear sky
339,San Cristobal,VE,7.7669,-72.225,73.58,88,45,2.42,scattered clouds
340,Murgab,TM,37.4966,61.9714,35.47,80,33,6.91,scattered clouds
