City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
448,Kieta,PG,81.34,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
449,Novo Aripuana,BR,79.79,overcast clouds,-5.1206,-60.3797,Hotel Ezequiel
454,Morros,BR,81.16,overcast clouds,-9.4467,-46.3003,
456,Eydhafushi,MV,81.91,overcast clouds,5.1033,73.0708,Soneva Fushi
459,Coahuayana,MX,89.08,clear sky,18.7333,-103.6833,El rranchito michuacan de ocampos
464,Alofi,NU,77.56,moderate rain,-19.0595,-169.9187,Taloa Heights
466,Pontian Kecil,MY,78.93,overcast clouds,1.4801,103.3899,SUNFLOWER EXPRESS HOTEL
469,Boende,CD,79.05,overcast clouds,-0.2167,20.8667,
470,Sola,VU,80.42,overcast clouds,-13.8833,167.55,Leumerus Bungalows
473,Vanimo,PG,76.87,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
477,Batticaloa,LK,77.56,overcast clouds,7.7102,81.6924,Grand Star Guest House
483,San Carlos De Bariloche,AR,76.24,clear sky,-41.1456,-71.3082,Hotel Patagonia
485,Gamba,GA,76.82,light rain,-2.65,10.0,
487,Guanica,PR,82.98,broken clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
499,Lagos,NG,84.52,broken clouds,6.5833,3.75,
501,Kendari,ID,75.36,overcast clouds,-3.945,122.4989,Hotel Wixel
502,Santa Maria,BR,79.9,few clouds,-29.6842,-53.8069,Hotel Morotin
508,Jacareacanga,BR,81.45,broken clouds,-6.2222,-57.7528,Casa do Ian😎
513,Tucuman,AR,80.6,light rain,-26.8241,-65.2226,Dallas Hotel Tucuman
516,Moerai,PF,79.68,overcast clouds,-22.4333,-151.3333,Le Manotel
517,Alcantara,BR,82.6,scattered clouds,-2.4089,-44.4147,Pousada da Josefa
520,Waitara,NZ,77.22,overcast clouds,-38.925,174.25,
526,Kapoeta,SS,84.58,scattered clouds,4.7717,33.5903,Eastgate Hotel
527,Doka,SD,77.92,clear sky,13.5167,35.7667,
529,Trairi,BR,80.22,few clouds,-3.2778,-39.2689,janelas do mar
531,Suba,PH,79.77,overcast clouds,10.8438,121.0102,Jarnchi Pension House
532,Vangaindrano,MG,76.41,moderate rain,-23.35,47.6,Hotel Fanilo
533,Half Moon Bay,US,75.72,clear sky,37.4636,-122.4286,"The Ritz-Carlton, Half Moon Bay"
547,Auki,SB,80.35,moderate rain,-8.7676,160.7034,Auki Motel
550,Maputo,MZ,77.23,few clouds,-25.9653,32.5892,Pestana Rovuma
554,Pochutla,MX,83.25,scattered clouds,15.7432,-96.4661,Hotel Posada San Jose
561,Canutama,BR,76.51,light rain,-6.5339,-64.3831,Hotel Jhennifer
562,Manakara,MG,78.08,light rain,-22.1333,48.0167,La Residence Manakara
566,Yaring,TH,77.02,broken clouds,6.8662,101.3689,สถานที่จัดงานแต่ง SOFEE & DORN
569,Port Keats,AU,78.73,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
572,Beitbridge,ZW,77.94,clear sky,-22.2167,30.0,Beitbridge Express Hotel
574,Atar,MR,75.76,broken clouds,20.5169,-13.0499,Oumou Elghoura
576,San Fernando,PH,77.14,scattered clouds,15.0286,120.6898,Maharlika Hostel
581,Tres Arroyos,AR,78.98,overcast clouds,-38.3739,-60.2798,Habitacion Triple con baño y entrada privada
585,Monrovia,LR,78.57,scattered clouds,6.3005,-10.7969,Sunset Inn
591,Doba,TD,76.12,clear sky,8.65,16.85,Restaurant Auberge La Pétrolière
592,Mojoagung,ID,76.59,overcast clouds,-7.5667,112.35,Sophie
623,Manado,ID,75.97,light rain,1.487,124.8455,Aryaduta Hotel
630,Teahupoo,PF,80.56,overcast clouds,-17.8333,-149.2667,Vanira Lodge
632,Thrissur,IN,75.18,overcast clouds,10.5167,76.2167,Joys Palace
638,Eldorado,BR,79.59,clear sky,-23.7869,-54.2836,Villa Verde Hotel
639,Prieska,ZA,82.45,scattered clouds,-29.6641,22.7474,Avenue GuestHouse
640,Ngunguru,NZ,75.16,broken clouds,-35.6167,174.5,Pacific Rendezvous Motel Resort
642,Namatanai,PG,80.15,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
645,Pio Ix,BR,87.03,broken clouds,-6.8375,-40.5792,Hotel Central
653,Manokwari,ID,77.4,heavy intensity rain,-0.8667,134.0833,Swiss Belhotel Manokwari
656,Mahanoro,MG,78.75,overcast clouds,-19.9,48.8,BUNGALOW MAHAMANINA
662,Wattegama,LK,76.12,overcast clouds,6.7989,81.4808,
669,Kimbe,PG,77.36,overcast clouds,-5.5502,150.1429,Kimbe Bay Hotel
671,Carutapera,BR,77.81,broken clouds,-1.195,-46.02,Lidera
672,Prado,BR,78.57,overcast clouds,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
675,Saint-Joseph,RE,75.58,broken clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
676,San Cristobal,VE,77.18,broken clouds,7.7669,-72.225,Posada Villaven C.A.
681,Poso,ID,75.72,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
684,Mvomero,TZ,76.28,light rain,-6.25,38.6667,Kisampa Bush Retreat
685,Palu,ID,75.51,overcast clouds,-0.8917,119.8707,Hotel Santika Palu
688,Boulsa,BF,78.76,broken clouds,12.6675,-0.5758,Auberge Relwende
697,Oranjestad,AW,82.35,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
701,Kaya,BF,76.57,scattered clouds,13.0917,-1.0844,Maison de l'appelé
702,Bluefields,NI,82.47,few clouds,12.0137,-83.7635,Nicaraguan Typical House Downtown
705,Ternate,ID,78.98,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
711,Vilhena,BR,84.42,scattered clouds,-12.7406,-60.1458,Hotel Mirage
713,Salinas,US,78.01,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
715,Artesia,US,85.32,clear sky,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
